title,content
Q：蝸牛綠洲在什麼地方？,「蝸牛綠洲」的背景是台南知名巷弄「蝸牛巷」，位於台南繁忙市區中的一塊寧靜街區。「蝸牛巷」源於文學家葉石濤於1991年在《台灣新聞報》副刊發表的小說《往事如雲》中的一段文字「辜安順的阿母把位於紅寮厝的三甲看天田賣掉，在這蝸牛巷巷頭買了老屋居住， 貪的是這巷路位於府城西門町最繁華熱鬧的宮古座戲院後頭，是鬧區中幽靜的山谷的關係。 」
Q：為什麼要加入蝸牛綠洲？,><
Q：蝸牛幣是什麼？有什麼用處？,蝸牛幣是在綠洲中使用的貨幣，可以透過清掃街道垃圾、維護環境秩序獲得，得到的蝸牛幣則可以用來購買代表各區特色的家具到自己房間。未來蝸牛幣也可能和蝸牛巷的商家合作、獲得折扣喔！
Q：「加入認養」是什麼意思？,蝸牛綠洲邀請你在體驗綠洲的過程中，從遊玩與探索裡對蝸牛巷有初步的認識，並將那份關心轉化成實際的行動、和蝸牛巷產生連結。「認養」有興趣的社區議題時，依照不同「認養行動案」的設計，你能夠以各種方式參與社區的發展，同時也能獲得方案所提供的回饋。
Q：要怎麼在自己家裡放入更多家具呢？,除了要有足夠的蝸牛幣之外，可以在蝸牛綠洲中多和其他蝸牛聊天、認識一下綠洲中的故事。探索完各個區域之後，就能夠在自己的家裡透過家具櫃加入帶有各區特色的家具囉。
Q：綠洲中的街道清掃和秩序維護是什麼意思？,><
Q：在蝸牛綠洲逛了一圈，想更認識蝸牛巷，該怎麼做呢？,關於蝸牛巷的文史資料，「綠豆皮工作室」做了完整的田野調查，可以到 <a href='https://o8d.github.io/2020old/index.html#header1-l' target='_blank'>大宮町之華</a> 更深入的了解喔！
Q：到蝸牛巷拜訪要注意的是？,蝸牛巷除了商家以外，也是許多居民生活的地方。到蝸牛巷漫步的時候，記得放輕腳步、不要大聲喧嘩，留給居民一個寧靜的生活環境。
Q：今天蝸牛巷的天氣如何？,台南天氣總是很熱，夏天時尤其很曬，幾乎不太有人會在大馬路上散步，幸好蝸牛巷裏很多植物遮蔭，感覺也涼爽了起來。<a href='https://www.cwb.gov.tw/V8/C/W/County/County.html?CID=67' target='_blank'>到這裡</a> 看看今天台南的天氣，再決定要穿什麼衣服來玩吧！
Q：為什麼要建設這個蝸牛綠洲？,近幾年，蝸牛巷雖因社區建設的裝置藝術而成名，如今成為著名的觀光景點。然而，由於當時許多裝置藝術缺乏後續維護，如今也產生永續維護的挑戰。為了近一步守護蝸牛巷的觀光和居民生活品質，「蝸牛綠洲」希望透過邀請非當地居民一起加入社區經營活動，從了解地方歷史與生活開始，成為蝸牛巷的「OOO（關係人口？股東？）」，一起靜靜守護蝸牛巷的過去與未來。
